公司名稱,服務據點,聯絡人/聯絡方式,產品種類
環揚環保工程股份有限公司,台南市中西區武聖路239巷10弄13號,林秉豐(06)358-8833 0919-842917,廢水系統、其他
台灣綠能工程顧問有限公司,高雄市前鎮區一心一路243號10樓之2號,顏才華07-3316378 0912150321,併網申請
畜旺工程行,雲林縣崙背鄉五魁村五常路34-16號,郭川暉、侯文賢0921-351051、0955-278522,脫硫設備、儲氣設備
桓達科技股份有限公司,新北市土城區土城工業區自強街16號,吳奎雍02-22696789 0935-164-262,脫硫設備、儲氣設備、沼氣發電機、發電機維修、沼氣發電系統商
龍鐵機械工業股份有限公司,桃園市蘆竹區南山路二段470巷23號,羅文廷03-324-2370 0932-365776,脫硫設備、其他、沼氣發電系統商
晶昌環境機械有限公司,台南市善化區小新營400號,林淑惠06-5850446#217 0915-235820,廢水系統、沼氣發電機、沼氣發電系統商
阿布科技有限公司,台南市歸仁區民生南街二段317號,李偉立06-2797101 0936163112,儲氣設備
振偉開發股份有限公司,台南市善化區中山路349號5樓,翁振博06-5818611,併網申請
高豊機械有限公司,高雄市楠梓區芍蕉路1號,黃振育07-3581570 0956-636195,廢水系統、儲氣設備
飛瑞工程行,雲林縣虎尾鎮新吉里林森路二段436巷68號1樓,陳增吉0927-331906,沼氣發電機、發電機維修
三敏電機股份有限公司,新北市深坑區北深路三段153號7樓,鄭密鈴02-26629292 0926-611617,廢水系統、脫硫設備、儲氣設備、沼氣發電機、沼氣發電系統商
元錩工業股份有限公司,台中市棲梧區向上路九段382巷106號,蔡昆達04-26305899 0966-552856,廢水系統、其他、沼氣發電系統商
所羅門股份有限公司,台北市內湖區行忠路42號,張啓鴻、王士銘02-8791-8989 #2169 / 0905-366360 02-8791-8989 #5314 / 0928-535688,沼氣發電機、沼氣發電系統商
台灣理研計器股份有限公司,台南市善化區陽明路87號,邱先生06-5811224,其他
大勵金屬科技股份有限公司,台北市士林區中山北路五段687號6樓之1,周順軍02-28367188 0937-027018,廢水系統、脫硫設備、儲氣設備、沼氣發電機、併網申請、發電機維修、其他、沼氣發電系統商
萬年清環境工程股份有限公司,台中市西屯區龍富路五段261號,李俊穎04-22550168/ 0961-230-575 FAX 04-22550178,廢水系統
怡和企業,高雄市苓雅區武信街15巷11號1樓,王文俊0932741836,沼氣發電機、發電機維修
牧陽能控股份有限公司,台南市歸仁區歸仁十三路一段6號2樓A201室,曾先生電話: 06-5121698  LINE@ ID: @xxk2898t,併網申請、沼氣發電系統商
安葆國際實業股份有限公司,新北市新店區北新路3段207之5號5樓,李昱慶02-29108118#828 0975-700371,沼氣發電機、併網申請、發電機維修、其他、沼氣發電系統商
君宬環保顧問有限公司,彰化縣員林市三愛里合作街123號1樓,徐小姐04-8315932,廢水系統
祺晴國際有限公司,臺北市大同區南京西路315號,郝宗祺02-89213637/ 0987-633898,併網申請
超立科技有限公司,南投縣南投市南營路95號,黃光瑜、徐毓琦04-23354488#216、103 黃經理 0933-360504 徐經理 0923-696998,沼氣發電機、發電機維修、沼氣發電系統商
奇堅實業有限公司,屏東縣長治鄉繁昌村中山路150號,楊偉立08-7627999/ 0937-336534,廢水系統
破壁環技股份有限公司,高雄市大寮區民權街81號,林長青07-7317555/ 0926-167356,廢水系統、脫硫設備、儲氣設備
富立業工程顧問股份有限公司,臺中市西屯區福中二街16巷17號,蔡國拱04-23585953#152/ 0916-301085/ 環保許可專線04-23507831,廢水系統
晉緯工程股份有限公司,高雄市左營區正心街116號11樓之2,周昆崙07-5562011,廢水系統
日成科技股份有限公司,臺北市中山區民生東路2段157號3樓,李長穎 博士02-25024072/ 0921-787422,廢水系統、脫硫設備、儲氣設備、沼氣發電機、併網申請、其他、沼氣發電系統商
漢米科技股份有限公司,臺北市信義區吳興街600巷100弄55號5樓,孫國昌0935-150938,沼氣發電機、沼氣發電系統商
中華生質能源有限公司,嘉義縣水上鄉水上村民治街2號1樓,王文興0987-587979,沼氣發電機
螢助有限公司,南投縣草屯鎮碧興路一段348號,鄧燕堂04-24622299,儲氣設備
澄豐環境科技有限公司,桃園市楊梅區富民街33巷240號,呂政宏03-2821298/0936-130792,脫硫設備
謙品綠色動力有限公司,台中市北區崇德路一段631號19樓之一,廖本右04-22380298/0912-955858,脫硫設備、儲氣設備、沼氣發電機、併網申請、發電機維修、其他、沼氣發電系統商
勇強電機工業股份有限公司,台中市后里區聯合里三重二路200巷22號,詹勝貴04-25562783,沼氣發電機、發電機維修
擎億股份有限公司,高雄市前鎮區千富街199號,孫志成07-8215888/0956-670150,發電機維修
廣昱科技股份有限公司,新北市中和區中山路二段296號12樓,賴正興02-22457090,沼氣發電機
電聯運通股份有限公司,新竹市延平路三段470巷19 弄二號2樓之2,曾令遠03-5162723,其他
博非特綠能科技公司,苗栗縣銅鑼鄉新興路685號,廖永亮0920-519996,沼氣發電機
潔康企業有限公司,彰化縣秀水鄉彰水路一段439號,曹起熊04-7681117#5/ 0935-398728,沼氣發電系統商
錡源科技股份有限公司,桃園市龜山區鐘義路三段215巷16-1號,黃永政03-3960236/ 0986-003535,廢水系統、脫硫設備、儲氣設備、沼氣發電機
承泓環保科技有限公司,屏東縣內埔鄉富田村里和路110號,鍾振楠08-7789127/0929-809133,廢水系統
業興環境科技股份有限公司,台北市南京東路5段168號12樓,翁榮華02-27691002#131/0933-921119,沼氣發電系統商
世健企業股份有限公司,高雄市岡山區介壽路10巷25弄18號,孫乘風07-625-1258/ 0931-988926,廢水系統、脫硫設備、儲氣設備、沼氣發電機、發電機維修
台灣傳鑫能源有限公司,嘉義市西區埤竹路139-1號,李坤信05-2386161/ 0955-936636,沼氣發電系統商
亞洲氫能股份有限公司 (環球鑫能源),新竹科學工業園區 新竹市東區園區二路60號一樓,董舒麟03-577-1609/0935-374695,沼氣發電系統商
宇陽能源科技股份有限公司,台北市松山區民生東路3段107巷6號4樓(台北市瑠公農田水利會大樓),方耀華02-7751-5151,廢水系統、脫硫設備、儲氣設備、沼氣發電機、併網申請、發電機維修、其他
中華機械股份有限公司,高雄市大寮區中庄里鳳屏路一路268號,何亞倫03-28587333#311 0937-283309,廢水系統、脫硫設備、儲氣設備、沼氣發電機、併網申請、發電機維修、沼氣發電系統商
漢翔航空工業股份有限公司,台中市西屯區漢翔路1號之7,陳盈戎04-2702-0001#3291/0933-553466,沼氣發電機、發電機維修
祥瑞能源科技股份有限公司,新北市五股區中興路一段176巷3號,曾昱森0982-584250,廢水系統、脫硫設備、儲氣設備
